,tweet,Python_cosine,python_euclidean
155,v take survey tell us like heart logan http,0,0
156,think become logan take survey,0,2
157,update still missing,6,2
158,gizmo still missing http,6,0
159,shout 9 letting us private showing logan though kid friendly hit http,0,0
160,duo w gilbert hotel tonight gigs brisbane logan,0,2
161,found male dog today 7 months http,5,4
162,found dog south logan region,5,4
163,found missing girl roaming around road http,6,4
164,gizmo male ginger cat went missing 10th february http,6,0
165,pacific slow logan river bridge,4,5
166,great work 2 men officer got two cars left shoulder pacific nb logan ramp,4,5
167,look pacific northbound logan ramp breakdowns left right lanes,4,5
168,problem afl mob building palace logan though straight across pub,0,2
169,lost white female cat kids accidentally http,6,0
170,found dog house wondered http,6,4
171,family dog gone missing time http,6,4
172,accident southbound m1 logan clear,0,2
173,road traffic crashes x 2,3,1
174,pacific motorway logan road,4,5
175,macarthur parade avenue main beach,6,2
176,gateway closed road works time day backed logan motorway merge bound good one dickheads,3,1
177,found south taken http,6,4
178,away pet notice 3,6,2
179,cat roundabout top road,6,1
180,logan region,5,2
181,road http,6,1
182,near drive missing desexed female http,6,0
183,2 vehicles head 3 adults 2 children 1 infant minor injuries taken logan queen elizabeth hospitals,0,2
184,swedish meat balls logan signature breakfast lunch,0,2
185,came back walk small friendly http,6,0
186,best way avoid m1 logan delay daisy hill plantain bay,0,2
187,36 candidates one nation great news sadly one logan,0,2
188,male dog lost http,6,4
189,cinnamon bun logan,0,2
190,serious traffic crash logan http,2,0
191,serious traffic crash logan please keep boy prayers close family friend,2,6
192,logan gives generously youth family services christmas nears http,0,0
193,accident logan road,3,1
194,road traffic crash fitzgerald logan,3,1
195,logan city christmas lights merchant,0,2
196,power back logan,0,2
197,pastor required uniting church http pastor,6,0
198,lost cat logan region,5,4
199,tabby male 2 years old quite large size last http,6,0
200,found male dog collar,5,4
201,contact link http,6,0
202,thank attended brisbane workshop week great time working businesses logan,0,2
203,disabled truck logan road fitzgerald avenue clear,3,1
204,truck safely removed logan eb pacific fitzgerald local delays clearing,4,5
205,broken truck logan eastbound right lane pacific underpass fitzgerald,4,5
206,hi need new good home dogs puppies australia logan area http,0,0
207,found bull,6,4
208,dog run away morning name http,6,0
209,chiropractor physiotherapy massage logan brisbane,0,2
210,road police conduct road safety operation targeting drink drug driving logan,3,1
211,hi looking cat penny black white http,6,0
212,earlier car crash power pole todd 4 pts 3 2 logan 1 princess stable,2,6
213,local council making life hard mental health services brisbane news abc logan,0,2
214,suns fear logan city council terminate lease early,0,2
215,car motorbike crash cinderella male 50s stable logan hospital w minor leg injury,2,6
216,missing bird logan region,5,4
217,lost bird blue female indian ring neck lost http,6,0
218,water woes greyhounds logan breakfast,0,2
219,crash pacific northbound right lane logan delays building back,4,5
220,found dogs daisy hill logan region,5,4
221,dropped two males vet http,6,0
222,summit big city dreaming logan big challenges great brains trust one room,0,2
223,start w also focus key centres logan central,0,2
224,local boy comes home logan talk collaboration creativity sustainable,0,2
225,ready future business community logan,0,2
226,summit brisbane city logan,0,2
227,fascinating chat resilience sport w walters logan sports awards,0,2
228,police enjoy sausage freedom aged care residents logan http,0,0
229,hire services supporting upcoming centre city logan sports awards gala http,0,0
230,paramedics attended crash logan female patient transported stable logan hospital,2,6
231,missing dog south brisbane south logan regions,5,4
232,missing http,6,0
233,found dog male gone http,5,4
234,pastor required uniting church brisbane http pastor,6,0
235,hi lost female short haired white cat http,6,0
236,stalled truck northbound pacific logan road,4,5
237,forensic crash unit logan road safety expo http,3,1
238,saw dog highway exit 19 south bound http,6,4
239,male patient shoulder injury taken stable logan community hospital motorbike crash,2,6
240,8 lost area black brindle http,6,0
241,found dogs logan region,5,4
242,found two dogs drive,5,4
243,logan sb still slow upper mt m1 earlier crash,2,6
244,special offer brisbane government subsidised business workshop limited seats logan,0,2
245,brisbane city gold coast painless needle food allergy testing brisbane city logan gold,0,2
246,duo w hotel tonight gigs brisbane logan music,0,2
247,underwood accident logan clear,0,2
248,brisbane road traffic crash,3,1
249,logan roads,0,2
250,underwood,6,2
251,traffic accident report logan,0,2
252,hogs breath logan hog run wild raise funds type 1 diabetes,0,2
253,logan reporter article new project cinderella drive brand new luxury http,0,0
254,launch 30 cinderella drive,6,2
255,luke smith mayor logan city http,0,0
256,locations browns plains logan central,0,2
257,3d visualisation strategy models logan central,0,2
258,update reported incident pacific 1 female patient stable logan community hospital,4,2
259,logan city buses returned normal following earlier traffic incident http,0,0
260,logan city buses travelling brisbane delayed due traffic incident http,0,0
261,single vehicle crash tree male patient w minor injuries stable logan community hospital,2,6
262,pacific motorway crash northbound right lane logan exit 20 http,4,5
263,crash right lane pacific exit 20 logan,4,5
264,missing small foxy cross cattle dog http,6,4
265,logan mayor plans make second south-east exciting,0,2
266,urgent brought animal emergency service http,6,0
267,northbound congestion pacific logan river bridge extra traffic volumes due crash logan,4,5
268,brisbane traffic,6,2
269,logan northbound city inbound bumper bumper,0,2
270,found cat south logan region,5,4
271,found male desexed cat http,6,4
272,update vehicles currently loaded crash pacific inbound logan delays back,2,5
273,crash pacific northbound lanes blocked logan ramp delays paradise,4,5
274,mp says getting paid work big challenge logan,0,2
275,logan road crash eastbound cleared,3,1
276,logan road crash eastbound exit 20 delays expected proceed caution http,2,6
277,two cars together north bound delays logan,0,2
278,found,6,4
279,microchip details date http,6,0
280,international logan year 10 healthy eating positive attitude,0,2
281,western sydney produce amazing athletes say logan fertile area constant focus gets tedious,0,2
282,sisters dog one pups got gate http,6,0
283,helicopters logan,0,2
284,accident northbound pacific logan clear,4,5
285,cat female cream brown,6,2
286,shared logan pound website australia http,0,0
287,vet hold tuesday vet said http,6,0
288,street hazard signal fault directions intersection logan service road http,3,1
289,blue got searching ages got http,6,0
290,pacific highway stationary vehicle northbound exit 20 logan road delays expected pr http,4,5
291,logan future building youth forum kicks outstanding young leaders,0,2
292,male 60s stable logan hospital reportedly bitten snake hand,0,2
293,3 assessed 1 transported stable hospital following crash logan,2,6
294,road traffic crash logan,3,1
295,7 common misconceptions riding motorcycle,6,2
296,ride safe,6,2
297,missing female siamese cat night 4th http,6,0
298,lost girl x http,6,0
299,mp stands excessive http,6,0
300,found area owner know gender http,6,4
301,stairs death conservation park logan,0,2
302,3 violent armed logan guy taking cash telling worker gun 2 mt warren,0,2
303,pacific motorway congestion inbound logan motorway sports drive long delays expected http,4,5
304,crash northbound pacific causing long delays back logan river clean underway,4,5
305,watson location contact,6,2
306,park ridge,6,2
307,saw young german shepherd running http,6,0
308,logan resident asking vote graham quirk state school logan city council,0,2
309,thanks logan city council response obstruction crescent australia http,0,0
310,writes found dog names tes,5,4
311,finders http,6,0
312,5 assessed 2 transported stable logan hospital following crash northbound pacific,4,5
313,missing cat hill logan region,5,4
314,20 years old microchip http,6,0
315,clarks logan city buses delays 25 mins due heavy traffic,0,2
316,able help far still paying full price logan central kingston help,0,2
317,logan brothers black vs,0,2
318,draw semi finals,6,2
319,suns vs logan city homestead park,0,2
320,suns vs http,6,0
321,street hazard signal fault directions street logan road east service ro http,3,1
322,hello dog gone missing today name http,6,4
323,one best cafes logan good got two grandma kiwi kitchen waterford west http,0,0
324,underwood accident westbound logan clear,0,2
325,coles store question store logan manager try call gave feedback leave message,0,2
326,missing area morning female border http,6,0
327,police appealing info stolen logan http,0,0
328,sunday february 7 advertisement listed http,6,0
329,amazing opening centre choosing city logan investment creating 70 new jobs,0,2
330,connection road logan central wednesday february 17 http traffic,3,1
331,armed robbery logan http,0,0
332,crash cleared pacific sb logan ramp lanes open,4,5
333,writes hello injured cat http,6,0
334,hi got station,6,2
335,wanted catch logan home,0,2
336,missy 3 year old pure blue eyes female se http,6,0
337,landscaping apprentices 1st 2nd 3rd 4th year logan busy work career placement http,0,0
338,thanks logan city council response litter australia http,0,0
339,accident logan pacific clear,4,5
340,crash nb logan near bus station,2,6
341,jobs retail assistant australia http,6,0
342,hi found beautiful girl http,6,4
343,big mick gary making suns coolest clubhouse logan http,0,0
344,number,6,2
345,boyfriend dog gone missing area http,6,4
346,lost dog logan black labrador x boxer last http,5,4
347,hi aaron filling today last day river logan http,0,0
348,underwood accident logan,0,2
349,road today centre basketball logan city council http,3,0
350,3 passed away pet notice logan region,5,2
351,cat sadly passed away http,6,0
352,logan districts lac member june paramedic conducting cpr awareness sessions school fair,0,2
353,connection road logan central tuesday december http traffic,3,1
354,two lanes remain pacific southbound logan road ramp open delays,4,5
355,honour attend friday grand opening garden restaurant logan,0,2
356,church christmas going vets http,6,0
357,massive m1 logan exit going south,2,6
358,home suns cricket club homestead park park new home cricket logan city http,0,0
359,found following dog wandering http,6,4
360,woman logan hospital injured home invasion crescent,0,2
361,hoping share page http,6,0
362,stalled vehicle northbound logan pacific clear,4,5
363,breakdown removed safely towing units logan exit 20 thanks careful drivers,0,2
364,breakdown logan exit nb m1,2,6
365,helping friend lost beloved dog http,6,4
366,lost escaped yesterday 19th nov area http,6,0
367,found dog road logan region,5,4
368,found timid dog approachable beautiful nature http,6,4
369,dog found coles,5,4
370,donna http,6,0
371,connection road logan central friday november 13 http traffic,3,1
372,logan police working recover stolen vintage jaguar police station officer http,0,0
373,logan districts takes west sunday round 2 cup good luck http,0,0
374,looking forward visiting logan uniting church sunday morning see service 3,0,2
375,sighting dog pacific motorway near logan region,5,4
376,sighting big white dog northbound city http,6,0
377,big traffic jam heading south near logan boat jack knifed cars back,0,2
378,female patient minor injuries stable logan hospital car mobility scooter crash fitzgerald,2,6
379,ft 0 3 logan hazel lawn,0,2
380,large white dog wondering around http,6,0
381,team moved logan good foodie places look hard love grandma kiwi kitchen whitebait omelette,0,2
382,sighted dog logan region,5,4
383,walk came across stray http,6,0
384,accident westbound logan pacific clear,4,5
385,crash logan wb m1 exit tow crews site minor cleared,2,6
386,pacific motorway crash northbound logan road ramp delays expected pr http,4,5
387,lightning logan city aus reported barber,0,2
388,police aim educate motorcyclists account almost half logans road deaths http,6,1
389,missing dogs logan region,5,4
390,babies took left http,6,0
391,2nd quarter ended eagles v logan live scores http,0,0
392,pacific motorway crash northbound right lane adjacent logan exit 20 one l,4,5
393,oil spill crash m1 sb remains closed crews cleaning m1 delays slow,2,6
394,crash m1 sb 1 lane main ramp logan,2,6
395,m1 sb lanes back logan,2,2
396,logan north library,0,2
397,logan city council cat yes female tortoise shell http,0,0
398,c n g e n pacific busy traffic sb logan eight mile plains,1,3
399,good attend seniors morning tea held mp mick de logan east community centre week,0,2
400,missing two loveable one two years old http,6,0
401,20 crime logan advanced graphs available rates numbers http,0,0
402,lost cat,6,2
403,goes name fluffy escaped http,6,0
404,u know maintains park owned logan uniting church,0,2
405,rotary,6,2
406,helping logan celebrate seniors august policies,0,2
407,accident northbound pacific logan,4,5
408,big thank partners centre supporting sky logan,0,2
409,missing budgie logan region,5,4
410,escaped budgie area,6,2
411,white http,6,0
412,hi guys little guy fly work seems http,6,0
413,crash logan sb ramp m1,2,6
414,0 logan road ramp injuries,3,1
415,brisbane road traffic crash pacific motorway southbound near logan road ramp,3,1
416,logan road ramp crash northbound cleared,3,1
417,accident northbound logan pacific clear,4,5
418,crash logan compton nb left shoulder m1 delays,2,6
419,incident logan road ramp thursday july 23 http,3,1
420,logan road ramp crash northbound logan road lane lanes reduced node,3,1
421,logan road ramp crash northbound logan road delays expected proceed http,3,1
422,logan girls listen,0,2
423,looking 20 girls want results fast tone get fit drop http,6,0
424,recovered stolen property,6,2
425,detectives task force logan executed search warrant http,0,0
426,link join logan north library 6th august chat newest,0,2
427,cat logan region,5,4
428,found deceased,6,4
429,feline http,6,0
430,logan detectives investigating armed robbery ice cream shop http,0,0
431,found dog morning take http,6,4
432,logan city think talking sydney,0,2
433,animal sighting near bowls club http,6,0
434,found black white female devon rex devon rex cross http,6,4
435,male rottweiler x found another dog,5,4
436,male http,6,0
437,far behind brother hope tops c n g e n pacific sb logan eight mile plains,1,3
438,logan every crime z found link rates numbers http,0,4
439,nominate inaugural logan business distinction awards http,0,0
440,pacific motorway congestion southbound due crash logan river bridge delays http,4,5
441,pacific motorway macgregor congestion southbound delays logan delays allow extra,4,5
442,crash m1 nb compton exit delays slacks creek,2,6
443,pacific motorway crash northbound logan one lane blocked,4,5
444,dog appears small overweight fox http,6,0
445,dramas already 5 car nose tail m1 northbound logan delays back,2,6
446,brisbane report road traffic crash northbound pacific motorway logan road,3,1
447,pacific motorway crash northbound centre right lanes exit 20 logan road http,4,5
448,found budgie http,6,4
449,panels installation logan uniting church panels http,0,0
450,panels installation logan uniting church http,0,0
451,pacific motorway debris vegetation hazard northbound ladder logan exit 20,4,5
452,missing dog name white brown http,6,4
453,full logan even work,0,2
454,taking place park consulting candidates logan http,0,0
455,missing 2 x dogs logan region,5,4
456,lost 2 choc labs male female http,6,0
457,kylie,6,2
458,hi please help lost red http,6,0
459,pacific motorway northbound left lane logan sports drive,4,5
460,pacific motorway crash northbound right lane adjacent logan road delay http,4,5
461,traffic accident report m1 near logan exit southbound,2,6
462,c n g e n m1 sb heavy earlier crash near main exit 35 delays also logan,1,3
463,funeral advisory service logan australia http,0,0
464,running capability statement workshop logan morning,0,2
465,found area blind one eye http,6,4
466,every cloud silver lining brisbane logan beautiful,0,2
467,looking mum dad found last night http,6,4
468,c n g e n m1 nb extreme delays due earlier crash near logan gradually easing spots,1,3
469,c n g e n m1 nb extreme delays due earlier crash near logan 20 delays,1,3
470,m1 traffic woes continue crash near logan cars stationary,2,6
471,one person stable minibus logan traffic delays expected,0,2
472,4 vehicle prang including minibus m1 northbound logan causing big delays back,2,6
473,brisbane report road traffic crash logan motorway ramp pacific motorway,4,5
474,flash flooding flooded forget,6,2
475,post flooded areas,6,2
476,hi found german shepard roaming http,6,4
477,cat missing friday pm grimes http,6,0
478,taylor grant,6,2
479,brindle found http,6,4
480,ro solar panel installations logan uniting church http,0,0
481,long term missing please help family get http,6,0
482,lost birds logan region,5,4
483,lost 2 x alexandrine parrots http,6,0
484,vt 400 shadow sale motorcycles australia logan area http,0,0
485,stair training brisbane deep south http logan running stairs,0,0
486,crash pacific motorway 2 lanes closed motorists urged take logan road exit,4,5
487,c n g e n m1 sb logan eight mile plains,1,3
488,morning helen guest speaker logan city women business great turn http,0,0
489,training started journey become consultant logan north library,0,2
490,lazy local member councillor done absolutely bugger,6,2
491,robbery logan http,0,0
492,posting kylie murray,6,2
493,please help find old http,6,0
494,know logan tag garden always came logan observation,0,2
495,hi matt pejorative use logan know bad happens logan,0,2
496,salmonella investigation launched metro south health public health unit collaboration logan city council,0,2
497,posting,6,2
498,bob missing http,6,0
499,found playful boy yard ago http,6,4
500,found mini male found please call http,5,4
501,pacific highway hazard debris vegetation northbound logan road delays expected pro http,4,5
502,dogs bolted see pm,6,2
503,slipped http,6,0
504,sighted dog freeway logan region,5,4
505,saw brindle similar collar run http,6,0
506,brisbane road traffic crash pacific motorway northbound exit logan road,3,1
507,request,6,2
508,dentist dentures logan area hill,0,2
509,dog went missing yesterday storm http,6,4
510,found female maltese x currently animal http,6,4
511,c n g e n pacific sb logan eight mile plains around merges,1,3
512,c n g e n m1 nb slow also m1 sb logan wet conditions incidents,1,3
513,couple interesting storm cells go upper logan area keep safe guys hard http,0,0
514,bit smoke logan,0,2
515,found puppy area near white http,6,4
516,area missing please help much http,6,0
517,pacific motorway crash northbound left lane left shoulder logan http,4,5
518,city logan head grandma kiwi kitchen,0,2
519,road homes sold logan http,3,1
520,racist banner hung m1 near logan council investigating http,0,0
521,logan fix retail therapy every thursday visit shopping centre http,0,0
522,daniel,6,2
523,lost morning http,6,0
524,code 2,6,2
525,intersection,6,2
526,road,6,1
527,logan road,3,1
528,received report http,6,0
529,pacific motorway crash northbound right lane logan road ramp de http,4,5
530,lost rainbow lorikeet mustard mutation leg http,6,0
531,found area tonight assuming http,6,4
532,c n g e n m1 nb foggy conditions around logan river bridge,1,3
533,found cockatiel logan region,5,4
534,found cockatiel friday 29th august around http,6,4
535,brisbane report road traffic crash pacific motorway northbound logan road,3,1
536,c n g e n pacific m1 sb busy logan eight mile plains slow around merge,1,3
537,traffic backed m1 logan goes far,0,2
538,traffic update pacific crash inbound right lane exit 20 logan 1 lane blocked delays expected,4,5
539,saturday free seminar dog barking thanks logan city council http,0,0
540,accident northbound pacific motorway logan road clear,4,5
541,found currently animal emergency service http,6,4
542,crash m1 nb near logan compton exit delays back park exit 28,2,6
543,sushi train station closed monday 11 august due logan city royal queensland show http,0,0
544,gorgeous day brisbane day go logan,0,2
545,foggy morning foggy logan brisbane bus bridge http,0,0
546,shame logan north library panel 30 aug sign,0,2
547,white grey blue eyes manx tail female cat name baby http,6,0
548,went missing yesterday escape route backyard http,6,0
549,property manager logan brisbane property manager logan http,0,2
550,shared,6,2
551,impounded cat logan,0,2
552,lost dogs logan region,5,4
553,two lost huskies black snow white tagged http,6,0
554,c n g e n pacific sb logan eight mile plains,1,3
555,pacific motorway stationary vehicle northbound left lane logan ramp short delays,4,5
556,hello dog lost,6,4
557,incident logan road ramp thursday june 12 pm http,3,1
558,logan road ramp crash northbound right lane blocked end ram,4,5
559,crash pacific motorway nb logan delays,4,5
560,pacific motorway crash northbound reports crash near logan road unknown http,4,5
561,crash m1 nb cl near logan exit heavy delays,2,6
562,traffic accidents pacific motorway logan road castile cr overland edens landing,4,5
563,reports road traffic crash pacific motorway logan road,3,1
564,get ready weekend saturday night battling brisbane logan finest http,0,0
565,assisting gentle logan southern brisbane districts caring http,0,0
566,pacific motorway hazard debris vegetation southbound lane 2 logan motorway http,4,5
567,m1 delays northbound logan motorway earlier crash,2,6
568,paramedics took male logan hospital lacerations fell bicycle around,0,2
569,german shepherd x handed animal emergency service http,6,0
570,boy found afternoon wandering road http,6,1
571,pacific motorway stationary vehicle southbound left lane logan road short delays http,4,5
572,pacific motorway upper mount congestion southbound logan road medium delays ex http,4,5
573,found female border collie cross kelpie guess http,6,4
574,update armed robbery logan http,0,0
575,lions club logan absolutely packed come,0,2
576,logan turned big numbers watch local hero big screen lions,0,2
577,anywhere near logan sunday come join us fight lions,0,2
578,need help spread word beloved hub let http,6,0
579,roll sleeves logan,0,2
580,c n g e n m1 sb building logan gateway merge eight mile plains good run,1,3
581,searching good feed area hit suggestions,6,2
582,logan theaters 9 mr peabody sherman w 4 http,0,0
583,oh logan specifically,0,2
584,incident logan road monday march 17 pm http,3,1
585,collision eastbound logan pacific,4,5
586,logan road crash eastbound logan road eastbound left lane blocked l http,3,1
587,ladies deadly chicks networking gathering area logan region considered http,5,4
588,towing 24/7 logan brisbane gold coast automotive australia logan area,0,2
589,free car body removals 7 days week towing community australia logan area,0,2
590,black male desexed,6,2
591,area looks http,6,0
592,state high school queensland state school located logan city suburb,0,2
593,accident logan road pacific motorway clear,4,5
594,logan road thursday february pm http incident traffic,3,1
595,crash logan m1 ramps near baker,2,6
596,accident logan road pacific motorway,4,5
597,logan road crash northbound crash middle intersection p http,2,6
598,brisbane report road traffic crash pacific motorway logan road,3,1
599,missing snake logan region,5,4
600,missing python http,6,0
601,mortgage choice servicing logan area mortgage choice http,0,0
602,car ca drive home feel naked issue car logan area,0,2
603,destination sign better top bottom logan bus bus station http,0,0
604,menu sunday night pizza people meeting logan uniting church http,0,0
605,region,6,4
606,missing cat 14 weeks old http,6,0
607,female dog named approximately 6 years http,6,0
608,incident logan road ramp tuesday january pm http,3,1
609,logan road ramp stationary vehicle northbound lane lanes reduced delays expected http,4,5
610,family dog escaped house cinderella http,6,0
611,traffic accidents kingston wembley logan central m1,0,2
612,water main burst logan underwood affecting pressures higher areas parts sth underwood,0,2
613,logan city accident road road clear,3,1
614,places like less logan centre valley public toilet whatever building abbot,0,2
615,old school sent membership card coffee club logan centre,0,2
616,60 local tows logan bookings required http,0,0
617,found 2 x dogs area logan region,5,4
618,found 2 x dogs http,6,4
619,brother law female follow home http,6,0
620,lost bird logan region,5,4
621,lost,6,2
622,please contact,6,2
623,ph,6,2
624,lost http,6,0
625,incident alert pacific motorway crash logan exit 20 one lane sour,4,5
626,pacific ramp stationary vehicle left shoulder end logan http,4,5
627,c n g e n m1 nb slow logan river bridge earlier crash near,1,3
628,anon,6,2
629,looking hair dresser logan still uses cap streaking please,0,2
630,towing offers 60 local tows slacks creek kingston logan central,0,2
631,annual awards night inspiring ben frost another logan talented gems bright future,0,2
632,c n g e n m1 sb logan eight mile plains around merges,1,3
633,incident alert reports road traffic crash vicinity bus logan source,3,1
634,reports road traffic crash vicinity bus logan http,3,1
635,mt accident southbound logan road clear,3,1
636,c n g e n pacific m1 sb busy logan eight mile plains,1,3
637,logan turn right tavern ride distillery get m1 service,0,2
638,handy area logan get kids negative positive http,0,0
639,area islander kiwi,6,2
640,accident logan road compton clear,3,1
641,pacific motorway hazard debris vegetation near logan ramp one http,4,5
642,logan city traffic lights northbound,0,2
643,m1 absolute shocker northbound logan earlier accident,0,2
644,congratulations students 8 schools performed logan idol winners,0,2
645,neat cosy 3 house kingston shops schools bus front door http logan,0,0
646,missing dog daisy hill logan region,5,4
647,male x creamy colour http,6,0
648,park logan girls waiting,0,2
649,round 4 open http,6,0
